Organisation,Event Name,Day,Start Date,Last Date,Duration (Hours),Weekend/Weekday/Anyday,Location,Cause1,Cause2,Cause3,Skills1,Skills2,Skills3,Suitability1,Suitability2,Suitability3,Suitability4,Min Age,Openings,Corporate Friendly (>10 openings)
The New Charis Mission,Free Haircut,Wed, 07 Mar 2018,Ad Hoc,2.0,Weekday,Ang Mo Kio,Elderly,null,null, Other Skills,,, Open to All,,,,19,2,NoCSR
AWWA Ltd,Lunch Assistant for Seniors,Thu, 11 Jan 2018 , 31 Mar 2018,2,Weekday,Ang Mo Kio,Elderly,Health,null, No Specific Skills Required,,, First Timers, Seniors, Open to All,,18,2,NoCSR
YMCA of Singapore,Y Outing @ Sarah Seniors Activity Centre,Tue, 27 Mar 2018,Ad Hoc,2.0,Weekday,Marina South,Community,Disability,Elderly, No Specific Skills Required,,, First Timers, Open to All,,,15,5,NoCSR
Migrant Workers' Centre,MWC Help Kiosk,Wed, 14 Mar 2018,Ad Hoc,2.0,Weekday,Paya Lebar,Social Service,null,null,,,,,,,,13,2,NoCSR
Singapore Anglican Community Services,Craft Workshop,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Arts & Heritage,Community,Social Service, Arts & Music,,, Open to All,,,,13,2,NoCSR
Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,Mon, 8 Jan 2018 , 30 Nov 2018,2,Weekday,Punggol,Elderly,null,null, No Specific Skills Required,,, Open to All,,,,13,1,NoCSR
Bright Vision Hospital,BVH Flag Day 2018,Sat, 10 Mar 2018,Ad Hoc,6.0,Weekend,Islandwide,Elderly,Health,null, No Specific Skills Required,,, First Timers, Open to All, Organisation or Groups,,14,680,CSR
SingYouth Hub,Legal works for SingYouth Hub,Mon, 26 Feb 2018 , 31 Dec 2018,3,Anyday,Paya Lebar,Children & Youth,Community,Education, Legal, Other Skills,, Seniors,,,,35,2,NoCSR
Singapore Red Cross Society,World Blood Donor Day,Sat, 23 Jun 2018,Ad Hoc,6.5,Weekend,Downtown Core,Community,Health,Humanitarian, No Specific Skills Required,,, Open to All,,,,18,10,CSR
Boys' Town,Seeking Kitchen Assistant for culinary programme,Sun, 11 Mar 2018 , 31 Aug 2018,3,Weekend,Tampines,Children & Youth,Community,Families, Other Skills,,, First Timers, Seniors, Open to All,,25,2,NoCSR
The Creight Company,Art & Craft : Fingerknitting,Fri, 23 Mar 2018,Ad Hoc,2.0,Weekday,Bukit Merah,Community,Elderly,Health, Arts & Music, No Specific Skills Required,, First Timers, Seniors, Open to All,,13,5,NoCSR
All Saints Home,Be an All Saints Home Volunteer!,Sat, 17 Nov 2018,Ad Hoc,2.5,Weekend,Serangoon,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,13,497,CSR
Morning Star Community Services Ltd.,CareNights @ Bedok North,Mon, 8 Jan 2018 , 31 Aug 2018,2,Weekday,Bedok,Children & Youth,Community,Families, Coaching & Training, Other Skills,, Open to All,,,,17,9,NoCSR
Boys' Town,Guest Chef needed,Tue, 01 May 2018,Ad Hoc,5.0,Weekday,Tampines,Children & Youth,Community,Families, Other Skills,,, First Timers, Seniors, Open to All,,25,2,NoCSR
