web-scraper-order,web-scraper-start-url,EventID,EventID-href,Organisation,Event Name,DayDate,Duration,Location,Cause1,Cause2,Cause3,Skills,Suitability,Min Age
1517464290-183,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6169215,Samaritans of Singapore,Lend a listening ear. Be an SOS hotline volunteer,"Wed, 1 Nov 2017 to Thu, 31 Dec 2026",Few hours a week on weekday or weekend,"Outram
                  
                    10 CANTONMENT CLOSE 

                    Singapore 080010",Community,Social Service,null,Skills required: NA,Suitable for: Open to All,Min. age: 23
1517464536-232,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6660173,South Central Community Family Service Centre Limited,Adhoc Volunteering - Photographers and Videographers,"Wed, 21 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 12:00 PM",6:00 PM TO 9:30 PM (3.5 hours),"River Valley
                  
                    5 DELTA AVENUE 

                    Singapore 160005",Children & Youth,Community,Elderly,Skills required: Other Skills,"Suitable for: First Timers, Open to All",Min. age: 16
1517464220-169,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6594871,Singapore Anglican Community Services,Craft Workshop,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Arts & Heritage,Community,Social Service,Skills required: Arts & Music,Suitable for: Open to All,null
1517464510-227,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6596648,YMCA of Singapore,Y Makan Fellowship 2018,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Mar 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 07 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 02 Jun 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 23 Jun 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 28 Jul 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 25 Aug 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 15 Sep 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 06 Oct 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 27 Oct 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 03 Nov 2018 8:30 AM 
	                               	
	               		 
	                	Fri, 21 Dec 2018 8:30 AM",8:30 AM TO 1:30 PM (5.0 hours),"Orchard
                  
                    1 ORCHARD ROAD 

                    Singapore 238824",Community,Disability,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",null
1517464165-158,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6409400,Presbyterian Community Services,Community Befriending Programme,"Tue, 2 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Serangoon
                  
                    152 SERANGOON NORTH AVENUE 1 

                    Singapore 550152",Community,Elderly,Social Service,"Skills required: Arts & Music, Counselling & Mentoring, Medical & Health, Other Skills, No Specific Skills Required","Suitable for: First Timers, Seniors, Family Friendly",Min. age: 48
1517464350-195,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6572295,YMCA of Singapore,Y Outing @ APSN CFA,"Sat, 24 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 28 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 26 May 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 30 Jun 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 28 Jul 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 25 Aug 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 29 Sep 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 27 Oct 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 24 Nov 2018 8:30 AM",8:30 AM TO 1:30 PM (5.0 hours),"Kallang
                  
                    11, JALAN UBI, KEMBANGAN-CHAI CHEE COMMUNITY HUB Block 4 #01-31 

                    Singapore 409074",Community,Disability,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 17
1517464701-265,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6672683,National Neuroscience Institute,NNI CLINIC GREETERS,"Mon, 05 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Mon, 05 Feb 2018 1:00 PM 
	                               	
	               		 
	                	Tue, 06 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Tue, 06 Feb 2018 1:00 PM 
	                               	
	               		 
	                	Wed, 07 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Wed, 07 Feb 2018 1:00 PM 
	                               	
	               		 
	                	Thu, 08 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Fri, 09 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Fri, 09 Feb 2018 1:00 PM 
	                               	
	               		 
	                	Mon, 12 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Mon, 12 Feb 2018 1:00 PM",9:00 AM TO 1:00 PM (4.0 hours),"Novena
                  
                    11 JALAN TAN TOCK SENG 

                    Singapore 308433",Elderly,null,null,null,null,null
1517464711-267,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6229956,Project CARE,Project CARE (Caring with Authenticity & Respect for Elders),"Sat, 03 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 03 Mar 2018 8:00 AM",8:30 AM TO 12:30 PM (4.0 hours),"Queenstown
                  
                    57 LENGKOK BAHRU 

                    Singapore 151057",Community,Elderly,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464215-168,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595150,Singapore Anglican Community Services,Exercise Work-out Classes,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",Flexible on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Families,Health,Skills required: NA,Suitable for: Open to All,null
1517464546-234,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6647737,YMCA of Singapore,Y Spring Clean @ Teck Ghee,"Tue, 20 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 28 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 26 May 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 23 Jun 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 28 Jul 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 18 Aug 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 29 Sep 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 27 Oct 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 24 Nov 2018 9:00 AM",9:00 AM TO 12:30 PM (3.5 hours),"Ang Mo Kio
                  
                    420 ANG MO KIO AVENUE 10 

                    Singapore 560420",Community,Elderly,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 17
1517464175-160,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6407612,Presbyterian Community Services,Community Befriending Programme,"Tue, 2 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Toa Payoh
                  
                    108 POTONG PASIR AVENUE 1 

                    Singapore 350108",Community,Elderly,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 48
1517464310-187,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6255261,All Saints Home,Be an All Saints Home Volunteer!,"Sat, 17 Nov 2018",2:00 PM TO 4:30 PM (2.5 hours),"Serangoon
                  
                    5 POH HUAT ROAD 

                    Singapore 546703",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",null
1517464541-233,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6608647,Me Too! Club (MINDS),Physical Activities with Me Too! Club (Every Tuesday),"Tue, 20 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 06 Mar 2018 1:00 PM",1:00 PM TO 4:30 PM (3.5 hours),"Geylang
                  
                    11 JALAN UBI 

                    Singapore 409074",Community,Disability,Families,Skills required: NA,"Suitable for: First Timers, Open to All",null
1517464440-213,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600024,Kwong Wai Shiu Hospital,"B-I-N-G-O, B-I-N-G-O, B-I-N-G-O, and Bingo is the game-o.","Thu, 01 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 08 Mar 2018 1:00 PM 
	                               	
	               		 
	                	Fri, 09 Mar 2018 1:00 PM 
	                               	
	               		 
	                	Thu, 15 Mar 2018 1:00 PM 
	                               	
	               		 
	                	Fri, 16 Mar 2018 1:00 PM 
	                               	
	               		 
	                	Thu, 22 Mar 2018 1:00 PM 
	                               	
	               		 
	                	Fri, 23 Mar 2018 1:00 PM",1:00 PM TO 4:30 PM (3.5 hours),"Islandwide
                  
                    705, SERANGOON ROAD 

                    Singapore 328127",Community,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 21
1517464130-151,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6563965,AMKFSC Community Services,Baking for low income families - Bakery Hearts,"Tue, 2 Jan 2018 to Mon, 31 Dec 2018",Few hours a week on weekday,"Ang Mo Kio
                  
                    445 ANG MO KIO AVENUE 10 

                    Singapore 560445",Families,null,null,Skills required: NA,Suitable for: Open to All,Min. age: 16
1517464606-246,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6671994,Society for the Aged Sick,Cook with Me!,"Fri, 09 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Fri, 23 Feb 2018 1:30 PM 
	                               	
	               		 
	                	Fri, 02 Mar 2018 1:30 PM 
	                               	
	               		 
	                	Fri, 16 Mar 2018 1:30 PM 
	                               	
	               		 
	                	Fri, 23 Mar 2018 1:30 PM 
	                               	
	               		 
	                	Fri, 30 Mar 2018 1:30 PM",1:30 PM TO 4:30 PM (3.0 hours),"Hougang
                  
                    130, HOUGANG AVENUE 1 

                    Singapore 538900",Elderly,null,null,"Skills required: Other Skills, No Specific Skills Required","Suitable for: First Timers, Seniors, Open to All",null
1517464430-211,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6572222,YMCA of Singapore,Y Photo Club @ APSN CFA,"Sat, 03 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 17 Mar 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 19 May 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 02 Jun 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 21 Jul 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 22 Sep 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 20 Oct 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 17 Nov 2018 9:30 AM 
	                               	
	               		 
	                	Sat, 01 Dec 2018 9:30 AM",9:30 AM TO 12:30 PM (3.0 hours),"Paya Lebar
                  
                    11, JALAN UBI 

                    Singapore 409074",Disability,Social Service,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 17
1517464405-206,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6656938,SAGE Counselling Centre,SAGECC Volunteer Orientation,"Tue, 06 Mar 2018",10:00 AM TO 11:30 AM (1.5 hour),"Boon Lay
                  
                    1 JURONG WEST CENTRAL 2 

                    Singapore 648886",Elderly,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517464345-194,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6494014,Operation Hope Foundation,House building project in Cambodia,"Thu, 29 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 26 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Thu, 03 May 2018 9:00 AM 
	                               	
	               		 
	                	Thu, 14 Jun 2018 9:00 AM 
	                               	
	               		 
	                	Thu, 09 Aug 2018 9:00 AM 
	                               	
	               		 
	                	Thu, 25 Oct 2018 9:00 AM 
	                               	
	               		 
	                	Thu, 13 Dec 2018 9:00 AM",9:00 AM TO 6:00 PM (81.0 hours),"Tanglin
                  
                    352 TANGLIN ROAD 

                    Singapore 247671",Children & Youth,Community,Humanitarian,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 13
1517464475-220,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6573245,Blossom World Society,Youth Volunteers Recruitment for Charity Gala Lunch cum FAMILY Carnival,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sun, 25 Feb 2018 8:00 AM 
	                               	
	               		 
	                	Sun, 25 Feb 2018 8:00 AM 
	                               	
	               		 
	                	Sun, 25 Feb 2018 11:00 AM",2:00 PM TO 7:00 PM (5.0 hours),"Jurong East
                  
                    1 VENTURE AVENUE 

                    Singapore 608521",Children & Youth,Community,Education,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 18
1517464140-153,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6563324,AMKFSC Community Services,Bringing Joy to our Seniors - Senior Activity Hub @ Punggol,"Tue, 2 Jan 2018 to Sat, 30 Jun 2018",Few hours a week on weekday,"Punggol
                  
                    677B PUNGGOL DRIVE 

                    Singapore 822677",Community,Elderly,null,"Skills required: Arts & Music, Coaching & Training",Suitable for: Open to All,Min. age: 16
1517464470-219,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6605278,The National Kidney Foundation,Fundraising @ Kwan Im Thong Hood Cho Temple,"Sun, 25 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Fri, 02 Mar 2018 6:30 AM 
	                               	
	               		 
	                	Sun, 11 Mar 2018 6:30 AM 
	                               	
	               		 
	                	Tue, 13 Mar 2018 6:30 AM",6:30 AM TO 5:00 PM (10.5 hours),"Rochor
                  
                    178 WATERLOO STREET 

                    Singapore 187964",Children & Youth,Community,Elderly,Skills required: Fundraising,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 18
1517464390-203,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6405877,Migrant Workers' Centre,MWC Help Kiosk,"Wed, 07 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 11 Apr 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 16 May 2018 7:00 PM 
	                               	
	               		 
	                	Wed, 20 Jun 2018 7:00 PM",7:00 PM TO 9:00 PM (2.0 hours),"Pioneer
                  
                    51, SOON LEE ROAD, SCAL RECREATION CENTRE 

                    Singapore 628088",Social Service,null,null,null,null,null
1517464073-140,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6602736,HCA HOSPICE CARE,Lend a Helping Hand,"Fri, 12 Jan 2018 to Sat, 30 Jun 2018",Few hours a week on weekday,"Islandwide
                  
                    12 Jalan Tan Tock Seng 

                    Singapore 308437",Elderly,Health,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",null
1517464696-264,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6652256,Boys' Town,Administrative Support for Newsletter & Mailer Inserts,"Mon, 05 Feb 2018",9:30 AM TO 12:30 PM (3.0 hours),"Bukit Timah
                  
                    624, UPPER BUKIT TIMAH ROAD 

                    Singapore 678212",Children & Youth,Community,Families,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 15
1517464250-175,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600157,Singapore Red Cross Society,Social Worker Network,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",Flexible on weekday or weekend,"Orchard
                  
                    15 PENANG LANE 

                    Singapore 238486",Community,Disability,Humanitarian,Skills required: Other Skills,Suitable for: Open to All,null
1517464355-196,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6572433,YMCA of Singapore,Y Visit @ Bizlink,"Fri, 16 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Fri, 06 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 04 May 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 01 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 06 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 03 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 14 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 05 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 02 Nov 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Bedok
                  
                    512, CHAI CHEE LANE (Pls proceed to Bizlink Day Activity Centre at Level 4) 

                    Singapore 469028",Community,Disability,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 17
1517464185-162,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600464,Singapore Red Cross Society,Shop@Redcross Programme,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",2 to 3 days per week on weekday,"Orchard
                  
                    15 PENANG LANE 

                    Singapore 238486",Community,Disability,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",null
1517464551-235,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6010943,Singapore International Foundation,"Water for Life - Siem Reap, Cambodia","Mon, 19 Feb 2018",12:00 AM TO 11:30 PM (119.5 hours),"Overseas
                  
                    Office Address 
60A Orchard Road
Tower 1, The Atrium @Orchard,
International Involvement Hub 

                    Singapore 238890",null,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464235-172,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6578182,ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,Delivery & Distribution of vegetarian meals to Elderly Home,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",2 to 3 days per week on weekday,"Bedok
                  
                    11 JALAN UBI 

                    Singapore 409074",Community,Elderly,Social Service,Skills required: Other Skills,Suitable for: Open to All,null
1517464656-256,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6303191,Bright Vision Hospital,Karaoke Session,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 21 Feb 2018 3:00 PM 
	                               	
	               		 
	                	Wed, 07 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Wed, 21 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Wed, 04 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Wed, 18 Apr 2018 3:00 PM",3:00 PM TO 4:30 PM (1.5 hour),"Hougang
                  
                    5, LORONG NAPIRI, BRIGHT VISION HOSPITALLevel 1 Yen Pei Hall 

                    Singapore 547530",Community,Elderly,Health,Skills required: NA,"Suitable for: First Timers, Seniors, Open to All",Min. age: 16
1517464150-155,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6505283,Association for Early Childhood Educators (Singapore),Project Hand in Hand,"Tue, 2 Jan 2018 to Sat, 30 Jun 2018",2 to 3 days per week on weekday,"Islandwide
                  
                    301 BOON LAY WAY 

                    Singapore 649846",Children & Youth,Community,Education,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 18
1517464275-180,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6283441,Yishun Community Hospital,Patient Sitter Volunteer,"Mon, 27 Nov 2017 to Mon, 31 Dec 2018",Flexible on weekday or weekend,"Yishun
                  
                    2 YISHUN CENTRAL 2 

                    Singapore 768024",Community,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 25
1517464325-190,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6594982,Singapore Disability Sports Council,Tiger Balm Boccia Invitational Singapore 2018,"Mon, 28 May 2018",7:00 AM TO 8:00 PM (133.0 hours),"Kallang
                  
                    5 STADIUM DRIVE 

                    Singapore 397631",Disability,Sports,null,"Skills required: Leadership Development, Marketing & Communications, Volunteer Management, Other Skills",Suitable for: Open to All,Min. age: 18
1517464315-188,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6655452,Calvary Community Care,Brisk Walking With Seniors,"Wed, 04 Jul 2018",7:30 AM TO 11:00 AM (3.5 hours),"Serangoon
                  
                    147 POTONG PASIR AVENUE 1 

                    Singapore 350147",Community,Elderly,null,Skills required: NA,Suitable for: Open to All,null
1517464205-166,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595205,Singapore Anglican Community Services,Language Classes,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Arts & Heritage,Community,Education,Skills required: NA,Suitable for: Open to All,null
1517464088-143,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6592277,Focus on the Family Singapore Limited,SUPPORT DAILY OPERATIONS - Focus on the Family,"Tue, 9 Jan 2018 to Wed, 1 Jan 2020",Few hours a week on weekday,"Bishan
                  
                    9 BISHAN PLACE 

                    Singapore 579837",Children & Youth,Community,Education,Skills required: No Specific Skills Required,"Suitable for: Open to All, Family Friendly",null
1517464666-258,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6358501,Ang Mo Kio - Thye Hua Kwan Hospital,Karaoke,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Wed, 14 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 21 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 07 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 14 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 21 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 28 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 04 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 11 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 18 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 25 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 02 May 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 09 May 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 16 May 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 23 May 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 30 May 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 06 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 13 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 20 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 27 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 04 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 11 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 18 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 25 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 01 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 08 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 15 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 22 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 29 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 05 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 12 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 19 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 26 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 03 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 10 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 17 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 24 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 07 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 14 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 14 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 21 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 28 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 05 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 12 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 19 Dec 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 26 Dec 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Ang Mo Kio
                  
                    17, ANG MO KIO AVENUE 9, ANG MO KIO-THYE HUA KWAN HOSPITAL, WARD 3 PATIENT HUB, LEVEL 4 

                    Singapore 569766",Elderly,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517464495-224,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6574966,Society for the Aged Sick,Kopi Friends,"Sat, 24 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 31 Mar 2018 10:30 AM 
	                               	
	               		 
	                	Sat, 28 Apr 2018 10:30 AM",10:30 AM TO 12:30 PM (2.0 hours),"Hougang
                  
                    130, HOUGANG AVENUE 1 

                    Singapore 538900",Community,Elderly,Social Service,"Skills required: Volunteer Management, Other Skills, No Specific Skills Required","Suitable for: First Timers, Seniors, Open to All",Min. age: 21
